Customer_id,Recency,Frequency,Monetary,Recency_bin,Frequency_bin,Monetary_bin
CS1198,3132,22,1571,150+,5+,501+
CS1199,3245,20,1344,150+,5+,501+
CS1200,3291,21,1667,150+,5+,501+
CS1201,3173,19,1375,150+,5+,501+
CS1202,3175,20,1331,150+,5+,501+
CS1203,3169,21,1536,150+,5+,501+
CS1204,3168,17,1023,150+,5+,501+
CS1205,3124,17,1103,150+,5+,501+
CS1206,3278,24,1514,150+,5+,501+
CS1207,3160,18,1310,150+,5+,501+
CS1208,3156,15,1000,150+,5+,501+
CS1209,3123,27,1809,150+,5+,501+
CS1210,3219,21,1546,150+,5+,501+
CS1211,3178,18,1218,150+,5+,501+
CS1212,3279,17,1200,150+,5+,501+
CS1213,3248,18,1191,150+,5+,501+
CS1214,3128,19,1289,150+,5+,501+
CS1215,3254,35,2362,150+,5+,501+
CS1216,3260,24,1798,150+,5+,501+
CS1217,3198,20,1431,150+,5+,501+
CS1218,3158,24,1687,150+,5+,501+
CS1219,3125,21,1447,150+,5+,501+
CS1220,3141,9,720,150+,5+,501+
CS1221,3284,19,1372,150+,5+,501+
CS1222,3166,21,1585,150+,5+,501+
CS1223,3174,17,1299,150+,5+,501+
CS1224,3236,8,578,150+,5+,501+
CS1225,3168,17,999,150+,5+,501+
CS1226,3175,18,1213,150+,5+,501+
CS1227,3146,27,1783,150+,5+,501+
CS1228,3167,19,1368,150+,5+,501+
CS1229,3148,19,1194,150+,5+,501+
CS1230,3126,20,1415,150+,5+,501+
CS1231,3275,23,1750,150+,5+,501+
CS1232,3216,20,1452,150+,5+,501+
CS1233,3236,21,1374,150+,5+,501+
CS1234,3125,21,1349,150+,5+,501+
CS1235,3262,22,1507,150+,5+,501+
CS1236,3163,22,1668,150+,5+,501+
CS1237,3321,24,1823,150+,5+,501+
CS1238,3141,26,1808,150+,5+,501+
CS1239,3373,11,771,150+,5+,501+
CS1240,3124,30,2126,150+,5+,501+
CS1241,3149,27,1818,150+,5+,501+
CS1242,3180,13,943,150+,5+,501+
CS1243,3159,17,1087,150+,5+,501+
CS1244,3262,21,1492,150+,5+,501+
CS1245,3193,19,1321,150+,5+,501+
CS1246,3416,20,1431,150+,5+,501+
CS1247,3149,28,1773,150+,5+,501+
CS1248,3130,17,1172,150+,5+,501+
CS1249,3210,23,1846,150+,5+,501+
CS1250,3133,24,1625,150+,5+,501+
CS1251,3123,14,1035,150+,5+,501+
CS1252,3228,18,1411,150+,5+,501+
CS1253,3195,17,1399,150+,5+,501+
CS1254,3124,21,1599,150+,5+,501+
CS1255,3188,29,1998,150+,5+,501+
CS1256,3334,19,1304,150+,5+,501+
CS1257,3146,15,1050,150+,5+,501+
CS1258,3146,22,1458,150+,5+,501+
CS1259,3289,22,1679,150+,5+,501+
CS1260,3267,26,1941,150+,5+,501+
CS1261,3208,26,1943,150+,5+,501+
CS1262,3205,16,1040,150+,5+,501+
CS1263,3124,14,1096,150+,5+,501+
CS1264,3124,12,959,150+,5+,501+
CS1265,3172,14,1128,150+,5+,501+
CS1266,3160,15,1076,150+,5+,501+
CS1267,3231,26,1812,150+,5+,501+
CS1268,3186,27,1946,150+,5+,501+
CS1269,3189,19,1272,150+,5+,501+
CS1270,3148,27,1990,150+,5+,501+
CS1271,3156,25,1683,150+,5+,501+
CS1272,3138,19,1279,150+,5+,501+
CS1273,3148,25,1800,150+,5+,501+
CS1274,3126,20,1381,150+,5+,501+
CS1275,3121,18,1321,150+,5+,501+
CS1276,3148,21,1505,150+,5+,501+
CS1277,3209,17,1142,150+,5+,501+
CS1278,3230,22,1572,150+,5+,501+
CS1279,3168,21,1411,150+,5+,501+
CS1280,3134,21,1262,150+,5+,501+
CS1281,3133,23,1715,150+,5+,501+
CS1282,3253,15,1014,150+,5+,501+
CS1283,3140,22,1683,150+,5+,501+
CS1284,3126,24,1836,150+,5+,501+
CS1285,3146,24,1778,150+,5+,501+
CS1286,3189,21,1511,150+,5+,501+
CS1287,3311,20,1440,150+,5+,501+
CS1288,3372,17,1125,150+,5+,501+
CS1289,3124,19,1355,150+,5+,501+
CS1290,3217,20,1625,150+,5+,501+
CS1291,3121,15,1006,150+,5+,501+
CS1292,3142,18,1307,150+,5+,501+
CS1293,3195,21,1625,150+,5+,501+
CS1294,3155,30,2129,150+,5+,501+
CS1295,3124,22,1487,150+,5+,501+
CS1296,3133,21,1505,150+,5+,501+
CS1297,3185,12,765,150+,5+,501+
CS1298,3165,21,1561,150+,5+,501+
CS1299,3221,21,1552,150+,5+,501+
CS1300,3128,18,1309,150+,5+,501+
CS1301,3146,19,1250,150+,5+,501+
CS1302,3151,19,1278,150+,5+,501+
CS1303,3163,22,1634,150+,5+,501+
CS1304,3200,15,874,150+,5+,501+
CS1305,3226,16,1031,150+,5+,501+
CS1306,3125,15,1153,150+,5+,501+
CS1307,3194,18,1220,150+,5+,501+
CS1308,3139,21,1487,150+,5+,501+
CS1309,3185,12,761,150+,5+,501+
CS1310,3241,15,1103,150+,5+,501+
CS1311,3155,18,1129,150+,5+,501+
CS1312,3139,16,1353,150+,5+,501+
CS1313,3132,29,2072,150+,5+,501+
CS1314,3640,13,891,150+,5+,501+
CS1315,3195,15,1030,150+,5+,501+
CS1316,3150,26,1726,150+,5+,501+
CS1317,3139,16,1146,150+,5+,501+
CS1318,3137,22,1693,150+,5+,501+
CS1319,3209,18,1161,150+,5+,501+
CS1320,3133,18,1382,150+,5+,501+
CS1321,3121,21,1668,150+,5+,501+
CS1322,3126,26,1964,150+,5+,501+
CS1323,3246,23,1595,150+,5+,501+
CS1324,3329,24,1611,150+,5+,501+
CS1325,3324,18,1209,150+,5+,501+
CS1326,3145,27,1940,150+,5+,501+
CS1327,3135,23,1525,150+,5+,501+
CS1328,3339,15,1043,150+,5+,501+
CS1329,3243,17,1158,150+,5+,501+
CS1330,3148,23,1750,150+,5+,501+
CS1331,3131,15,1170,150+,5+,501+
CS1332,3251,29,2010,150+,5+,501+
CS1333,3167,8,625,150+,5+,501+
CS1334,3200,25,1781,150+,5+,501+
CS1335,3242,17,1157,150+,5+,501+
CS1336,3229,24,1696,150+,5+,501+
CS1337,3157,22,1668,150+,5+,501+
CS1338,3140,18,1436,150+,5+,501+
CS1339,3180,23,1680,150+,5+,501+
CS1340,3247,20,1506,150+,5+,501+
CS1341,3189,13,1038,150+,5+,501+
CS1342,3122,16,1326,150+,5+,501+
CS1343,3188,21,1489,150+,5+,501+
CS1344,3145,25,1638,150+,5+,501+
CS1345,3221,18,1193,150+,5+,501+
CS1346,3288,15,1072,150+,5+,501+
CS1347,3125,30,2000,150+,5+,501+
CS1348,3179,22,1583,150+,5+,501+
CS1349,3137,16,1086,150+,5+,501+
CS1350,3153,27,1996,150+,5+,501+
CS1351,3243,21,1505,150+,5+,501+
CS1352,3161,20,1424,150+,5+,501+
CS1353,3326,19,1408,150+,5+,501+
CS1354,3528,16,1324,150+,5+,501+
CS1355,3169,23,1507,150+,5+,501+
CS1356,3201,24,1740,150+,5+,501+
CS1357,3274,26,1775,150+,5+,501+
CS1358,3132,19,1408,150+,5+,501+
CS1359,3141,16,1145,150+,5+,501+
CS1360,3163,18,1282,150+,5+,501+
CS1361,3138,19,1470,150+,5+,501+
CS1362,3127,23,1703,150+,5+,501+
CS1363,3322,24,1632,150+,5+,501+
CS1364,3187,27,1864,150+,5+,501+
CS1365,3138,19,1225,150+,5+,501+
CS1366,3148,22,1493,150+,5+,501+
CS1367,3188,29,2146,150+,5+,501+
CS1368,3125,15,960,150+,5+,501+
CS1369,3167,25,1746,150+,5+,501+
CS1370,3262,26,1864,150+,5+,501+
CS1371,3280,22,1496,150+,5+,501+
CS1372,3399,19,1412,150+,5+,501+
CS1373,3206,30,1967,150+,5+,501+
CS1374,3285,19,1357,150+,5+,501+
CS1375,3248,17,1165,150+,5+,501+
CS1376,3155,25,1512,150+,5+,501+
CS1377,3264,18,1505,150+,5+,501+
CS1378,3146,25,1671,150+,5+,501+
CS1379,3257,15,1134,150+,5+,501+
CS1380,3137,26,1857,150+,5+,501+
CS1381,3510,22,1449,150+,5+,501+
CS1382,3125,25,1845,150+,5+,501+
CS1383,3236,25,1878,150+,5+,501+
CS1384,3133,17,964,150+,5+,501+
CS1385,3126,22,1478,150+,5+,501+
CS1386,3192,14,998,150+,5+,501+
CS1387,3248,18,1238,150+,5+,501+
CS1388,3151,19,1275,150+,5+,501+
CS1389,3140,18,1189,150+,5+,501+
CS1390,3165,19,1210,150+,5+,501+
CS1391,3125,25,1584,150+,5+,501+
CS1392,3195,17,1227,150+,5+,501+
CS1393,3220,19,1437,150+,5+,501+
CS1394,3126,28,2046,150+,5+,501+
CS1395,3135,22,1704,150+,5+,501+
CS1396,3152,25,1852,150+,5+,501+
CS1397,3287,30,2156,150+,5+,501+
CS1398,3150,20,1354,150+,5+,501+
CS1399,3144,26,1832,150+,5+,501+
CS1400,3197,18,1193,150+,5+,501+
CS1401,3135,30,2023,150+,5+,501+
CS1402,3151,22,1660,150+,5+,501+
CS1403,3164,22,1652,150+,5+,501+
CS1404,3171,28,1900,150+,5+,501+
CS1405,3140,26,1943,150+,5+,501+
CS1406,3135,27,1842,150+,5+,501+
CS1407,3134,28,1916,150+,5+,501+
CS1408,3362,17,1214,150+,5+,501+
CS1409,3207,24,1464,150+,5+,501+
CS1410,3180,15,1160,150+,5+,501+
CS1411,3177,17,1222,150+,5+,501+
CS1412,3136,22,1599,150+,5+,501+
CS1413,3180,19,1396,150+,5+,501+
CS1414,3274,20,1437,150+,5+,501+
CS1415,3195,27,1752,150+,5+,501+
CS1416,3133,20,1513,150+,5+,501+
CS1417,3171,15,1076,150+,5+,501+
CS1418,3271,14,1053,150+,5+,501+
CS1419,3121,27,1915,150+,5+,501+
CS1420,3202,25,1923,150+,5+,501+
CS1421,3180,27,1896,150+,5+,501+
CS1422,3126,15,1211,150+,5+,501+
CS1423,3176,20,1182,150+,5+,501+
CS1424,3131,24,1753,150+,5+,501+
CS1425,3192,23,1688,150+,5+,501+
CS1426,3142,21,1538,150+,5+,501+
CS1427,3128,15,985,150+,5+,501+
CS1428,3206,25,1948,150+,5+,501+
CS1429,3253,18,1261,150+,5+,501+
CS1430,3134,21,1440,150+,5+,501+
CS1431,3133,18,1257,150+,5+,501+
CS1432,3124,19,1362,150+,5+,501+
CS1433,3160,20,1468,150+,5+,501+
CS1434,3132,27,1758,150+,5+,501+
CS1435,3167,25,1700,150+,5+,501+
CS1436,3180,14,977,150+,5+,501+
CS1437,3149,12,880,150+,5+,501+
CS1438,3157,20,1374,150+,5+,501+
CS1439,3155,16,1160,150+,5+,501+
CS1440,3222,22,1577,150+,5+,501+
CS1441,3189,20,1351,150+,5+,501+
CS1442,3129,20,1225,150+,5+,501+
CS1443,3174,24,1876,150+,5+,501+
CS1444,3156,23,1756,150+,5+,501+
CS1445,3123,23,1526,150+,5+,501+
CS1446,3134,15,991,150+,5+,501+
CS1447,3126,14,1001,150+,5+,501+
CS1448,3160,16,1239,150+,5+,501+
CS1449,3123,20,1402,150+,5+,501+
CS1450,3145,20,1251,150+,5+,501+
CS1451,3141,22,1715,150+,5+,501+
CS1452,3229,15,941,150+,5+,501+
CS1453,3253,22,1640,150+,5+,501+
CS1454,3141,17,1126,150+,5+,501+
CS1455,3123,18,1301,150+,5+,501+
CS1456,3325,20,1363,150+,5+,501+
CS1457,3212,15,929,150+,5+,501+
CS1458,3126,20,1422,150+,5+,501+
CS1459,3245,24,1627,150+,5+,501+
CS1460,3162,18,1185,150+,5+,501+
CS1461,3148,23,1567,150+,5+,501+
CS1462,3169,24,1616,150+,5+,501+
CS1463,3249,27,1807,150+,5+,501+
CS1464,3357,21,1613,150+,5+,501+
CS1465,3123,22,1631,150+,5+,501+
CS1466,3143,17,1190,150+,5+,501+
CS1467,3339,18,1233,150+,5+,501+
CS1468,3130,21,1412,150+,5+,501+
CS1469,3130,19,1387,150+,5+,501+
CS1470,3173,22,1649,150+,5+,501+
CS1471,3125,20,1325,150+,5+,501+
CS1472,3129,19,1241,150+,5+,501+
CS1473,3124,25,1695,150+,5+,501+
CS1474,3210,21,1487,150+,5+,501+
CS1475,3176,18,1197,150+,5+,501+
CS1476,3198,20,1430,150+,5+,501+
CS1477,3134,18,1185,150+,5+,501+
CS1478,3211,19,1300,150+,5+,501+
CS1479,3178,20,1567,150+,5+,501+
CS1480,3203,17,1251,150+,5+,501+
CS1481,3569,13,876,150+,5+,501+
CS1482,3157,12,732,150+,5+,501+
CS1483,3195,24,1774,150+,5+,501+
CS1484,3220,16,1221,150+,5+,501+
CS1485,3143,25,1814,150+,5+,501+
CS1486,3169,19,1377,150+,5+,501+
CS1487,3149,10,599,150+,5+,501+
CS1488,3134,23,1595,150+,5+,501+
CS1489,3154,15,950,150+,5+,501+
CS1490,3144,25,1788,150+,5+,501+
CS1491,3208,17,1244,150+,5+,501+
CS1492,3158,19,1358,150+,5+,501+
CS1493,3126,21,1531,150+,5+,501+
CS1494,3239,21,1502,150+,5+,501+
CS1495,3139,17,1138,150+,5+,501+
CS1496,3144,18,1222,150+,5+,501+
CS1497,3128,20,1445,150+,5+,501+
CS1498,3177,22,1519,150+,5+,501+
CS1499,3166,26,1879,150+,5+,501+
CS1500,3285,15,983,150+,5+,501+
CS1501,3156,26,1965,150+,5+,501+
CS1502,3126,22,1613,150+,5+,501+
CS1503,3122,27,1927,150+,5+,501+
CS1504,3165,13,825,150+,5+,501+
CS1505,3173,25,1703,150+,5+,501+
CS1506,3197,18,1307,150+,5+,501+
CS1507,3140,21,1280,150+,5+,501+
CS1508,3135,28,1933,150+,5+,501+
CS1509,3267,20,1383,150+,5+,501+
CS1510,3124,26,1792,150+,5+,501+
CS1511,3171,18,1253,150+,5+,501+
CS1512,3144,20,1239,150+,5+,501+
CS1513,3227,22,1444,150+,5+,501+
CS1514,3282,16,1046,150+,5+,501+
CS1515,3135,22,1742,150+,5+,501+
CS1516,3222,18,1308,150+,5+,501+
CS1517,3206,18,1168,150+,5+,501+
CS1518,3245,19,1151,150+,5+,501+
CS1519,3132,15,962,150+,5+,501+
CS1520,3124,18,1162,150+,5+,501+
CS1521,3315,9,671,150+,5+,501+
CS1522,3217,14,894,150+,5+,501+
CS1523,3336,15,928,150+,5+,501+
CS1524,3251,17,1075,150+,5+,501+
CS1525,3148,17,1215,150+,5+,501+
CS1526,3152,19,1324,150+,5+,501+
CS1527,3134,19,1187,150+,5+,501+
CS1528,3124,24,1660,150+,5+,501+
CS1529,3130,25,1823,150+,5+,501+
CS1530,3372,10,626,150+,5+,501+
CS1531,3156,25,1793,150+,5+,501+
CS1532,3404,17,1140,150+,5+,501+
CS1533,3164,23,1606,150+,5+,501+
CS1534,3189,20,1379,150+,5+,501+
CS1535,3204,24,1904,150+,5+,501+
CS1536,3156,12,753,150+,5+,501+
CS1537,3126,20,1323,150+,5+,501+
CS1538,3123,19,1304,150+,5+,501+
CS1539,3146,20,1371,150+,5+,501+
CS1540,3159,19,1199,150+,5+,501+
CS1541,3262,30,2273,150+,5+,501+
CS1542,3291,27,1808,150+,5+,501+
CS1543,3122,12,948,150+,5+,501+
CS1544,3174,19,1334,150+,5+,501+
CS1545,3142,28,1935,150+,5+,501+
CS1546,3320,18,1436,150+,5+,501+
CS1547,3146,22,1600,150+,5+,501+
CS1548,3138,23,1755,150+,5+,501+
CS1549,3146,20,1393,150+,5+,501+
CS1550,3171,22,1583,150+,5+,501+
CS1551,3222,18,1300,150+,5+,501+
CS1552,3151,22,1604,150+,5+,501+
CS1553,3308,20,1444,150+,5+,501+
CS1554,3262,17,993,150+,5+,501+
CS1555,3183,23,1571,150+,5+,501+
CS1556,3143,13,1031,150+,5+,501+
CS1557,3162,30,1992,150+,5+,501+
CS1558,3140,23,1500,150+,5+,501+
CS1559,3127,20,1613,150+,5+,501+
CS1560,3170,18,1352,150+,5+,501+
CS1561,3122,15,1082,150+,5+,501+
CS1562,3499,12,711,150+,5+,501+
CS1563,3525,17,1108,150+,5+,501+
CS1564,3139,16,1304,150+,5+,501+
CS1565,3241,17,1147,150+,5+,501+
CS1566,3311,21,1491,150+,5+,501+
CS1567,3142,19,1465,150+,5+,501+
CS1568,3154,20,1604,150+,5+,501+
CS1569,3146,15,1074,150+,5+,501+
CS1570,3223,25,1782,150+,5+,501+
CS1571,3152,20,1503,150+,5+,501+
CS1572,3155,15,1085,150+,5+,501+
CS1573,3164,19,1539,150+,5+,501+
CS1574,3128,18,1018,150+,5+,501+
CS1575,3167,26,1611,150+,5+,501+
CS1576,3214,16,1074,150+,5+,501+
CS1577,3140,21,1525,150+,5+,501+
CS1578,3209,16,1125,150+,5+,501+
CS1579,3147,20,1433,150+,5+,501+
CS1580,3311,33,2329,150+,5+,501+
CS1581,3158,23,1501,150+,5+,501+
CS1582,3139,27,2009,150+,5+,501+
CS1583,3150,25,1919,150+,5+,501+
CS1584,3135,21,1512,150+,5+,501+
CS1585,3214,19,1167,150+,5+,501+
CS1586,3194,20,1441,150+,5+,501+
CS1587,3158,27,1900,150+,5+,501+
CS1588,3130,25,1591,150+,5+,501+
CS1589,3136,15,1151,150+,5+,501+
CS1590,3275,16,964,150+,5+,501+
CS1591,3275,18,1144,150+,5+,501+
CS1592,3155,19,1215,150+,5+,501+
CS1593,3145,20,1406,150+,5+,501+
CS1594,3144,13,901,150+,5+,501+
CS1595,3227,10,648,150+,5+,501+
CS1596,3139,19,1342,150+,5+,501+
CS1597,3187,23,1611,150+,5+,501+
CS1598,3160,20,1289,150+,5+,501+
CS1599,3178,15,1028,150+,5+,501+
CS1600,3140,20,1331,150+,5+,501+
CS1601,3200,27,1787,150+,5+,501+
CS1602,3147,20,1401,150+,5+,501+
CS1603,3246,19,1374,150+,5+,501+
CS1604,3136,28,1950,150+,5+,501+
CS1605,3137,27,1685,150+,5+,501+
CS1606,3123,13,781,150+,5+,501+
CS1607,3182,19,1384,150+,5+,501+
CS1608,3170,14,973,150+,5+,501+
CS1609,3258,20,1375,150+,5+,501+
CS1610,3153,19,1326,150+,5+,501+
CS1611,3379,23,1794,150+,5+,501+
CS1612,3140,26,1759,150+,5+,501+
CS1613,3248,21,1347,150+,5+,501+
CS1614,3131,22,1568,150+,5+,501+
CS1615,3124,20,1419,150+,5+,501+
CS1616,3131,19,1434,150+,5+,501+
CS1617,3225,27,1784,150+,5+,501+
CS1618,3296,13,887,150+,5+,501+
CS1619,3132,21,1323,150+,5+,501+
CS1620,3421,16,1320,150+,5+,501+
CS1621,3142,26,1894,150+,5+,501+
CS1622,3121,20,1360,150+,5+,501+
CS1623,3137,26,1777,150+,5+,501+
CS1624,3160,25,1832,150+,5+,501+
CS1625,3126,14,950,150+,5+,501+
CS1626,3182,17,1172,150+,5+,501+
CS1627,3198,16,1043,150+,5+,501+
CS1628,3142,21,1456,150+,5+,501+
CS1629,3124,22,1394,150+,5+,501+
CS1630,3122,20,1393,150+,5+,501+
CS1631,3162,18,1223,150+,5+,501+
CS1632,3129,17,1187,150+,5+,501+
CS1633,3139,26,1763,150+,5+,501+
CS1634,3135,15,1044,150+,5+,501+
CS1635,3217,23,1573,150+,5+,501+
CS1636,3189,19,1347,150+,5+,501+
CS1637,3143,22,1496,150+,5+,501+
CS1638,3351,15,1035,150+,5+,501+
CS1639,3133,23,1619,150+,5+,501+
CS1640,3181,19,1232,150+,5+,501+
CS1641,3129,17,1232,150+,5+,501+
CS1642,3155,24,1672,150+,5+,501+
CS1643,3143,27,2087,150+,5+,501+
CS1644,3196,22,1542,150+,5+,501+
CS1645,3364,19,1412,150+,5+,501+
CS1646,3148,17,1185,150+,5+,501+
CS1647,3137,21,1401,150+,5+,501+
CS1648,3237,24,1776,150+,5+,501+
CS1649,3169,16,1197,150+,5+,501+
CS1650,3234,24,1832,150+,5+,501+
CS1651,3225,13,927,150+,5+,501+
CS1652,3122,26,1726,150+,5+,501+
CS1653,3238,26,1986,150+,5+,501+
CS1654,3211,19,1384,150+,5+,501+
CS1655,3149,14,955,150+,5+,501+
CS1656,3172,14,966,150+,5+,501+
CS1657,3246,18,1105,150+,5+,501+
CS1658,3150,20,1389,150+,5+,501+
CS1659,3164,19,1311,150+,5+,501+
CS1660,3141,24,1745,150+,5+,501+
CS1661,3148,32,2051,150+,5+,501+
CS1662,3143,17,1033,150+,5+,501+
CS1663,3217,23,1487,150+,5+,501+
CS1664,3134,25,1954,150+,5+,501+
CS1665,3276,16,1033,150+,5+,501+
CS1666,3171,18,1385,150+,5+,501+
CS1667,3194,20,1313,150+,5+,501+
CS1668,3170,17,1227,150+,5+,501+
CS1669,3136,15,1105,150+,5+,501+
CS1670,3202,16,1191,150+,5+,501+
CS1671,3205,17,1246,150+,5+,501+
CS1672,3252,15,1110,150+,5+,501+
CS1673,3175,26,1784,150+,5+,501+
CS1674,3175,17,1088,150+,5+,501+
CS1675,3159,28,2124,150+,5+,501+
CS1676,3187,28,2088,150+,5+,501+
CS1677,3185,21,1439,150+,5+,501+
CS1678,3196,18,1230,150+,5+,501+
CS1679,3128,28,1976,150+,5+,501+
CS1680,3169,18,1151,150+,5+,501+
CS1681,3234,21,1467,150+,5+,501+
CS1682,3247,15,1075,150+,5+,501+
CS1683,3135,17,1245,150+,5+,501+
CS1684,3189,18,1241,150+,5+,501+
CS1685,3336,22,1569,150+,5+,501+
CS1686,3188,24,1647,150+,5+,501+
CS1687,3145,22,1656,150+,5+,501+
CS1688,3252,17,1167,150+,5+,501+
CS1689,3195,16,993,150+,5+,501+
CS1690,3144,19,1354,150+,5+,501+
CS1691,3194,20,1523,150+,5+,501+
CS1692,3122,23,1592,150+,5+,501+
CS1693,3136,12,908,150+,5+,501+
CS1694,3186,22,1330,150+,5+,501+
CS1695,3214,32,2174,150+,5+,501+
CS1696,3250,19,1325,150+,5+,501+
CS1697,3228,15,1082,150+,5+,501+
CS1698,3126,19,1397,150+,5+,501+
CS1699,3137,18,1261,150+,5+,501+
CS1700,3368,17,1186,150+,5+,501+
CS1701,3299,18,1190,150+,5+,501+
CS1702,3147,17,1028,150+,5+,501+
CS1703,3190,15,890,150+,5+,501+
CS1704,3139,22,1484,150+,5+,501+
CS1705,3199,21,1553,150+,5+,501+
CS1706,3151,23,1681,150+,5+,501+
CS1707,3162,22,1627,150+,5+,501+
CS1708,3161,25,1790,150+,5+,501+
CS1709,3280,23,1629,150+,5+,501+
CS1710,3386,22,1577,150+,5+,501+
CS1711,3206,23,1548,150+,5+,501+
CS1712,3241,21,1411,150+,5+,501+
CS1713,3130,19,1495,150+,5+,501+
CS1714,3121,16,1248,150+,5+,501+
CS1715,3168,20,1314,150+,5+,501+
CS1716,3473,6,440,150+,5+,401-500
CS1717,3170,14,963,150+,5+,501+
CS1718,3198,18,1284,150+,5+,501+
CS1719,3156,17,1166,150+,5+,501+
CS1720,3121,17,1104,150+,5+,501+
CS1721,3141,24,1687,150+,5+,501+
CS1722,3135,19,1320,150+,5+,501+
CS1723,3156,17,1146,150+,5+,501+
CS1724,3150,18,1223,150+,5+,501+
CS1725,3180,27,1778,150+,5+,501+
CS1726,3148,23,1529,150+,5+,501+
CS1727,3132,25,1702,150+,5+,501+
CS1728,3227,26,1896,150+,5+,501+
CS1729,3134,24,1567,150+,5+,501+
CS1730,3252,19,1260,150+,5+,501+
CS1731,3135,17,1145,150+,5+,501+
CS1732,3146,18,1353,150+,5+,501+
CS1733,3251,20,1506,150+,5+,501+
CS1734,3311,18,1235,150+,5+,501+
CS1735,3134,14,952,150+,5+,501+
CS1736,3204,24,1653,150+,5+,501+
CS1737,3211,23,1737,150+,5+,501+
CS1738,3156,20,1337,150+,5+,501+
CS1739,3169,17,1199,150+,5+,501+
CS1740,3160,25,1902,150+,5+,501+
CS1741,3268,19,1264,150+,5+,501+
CS1742,3191,19,1326,150+,5+,501+
CS1743,3289,17,1405,150+,5+,501+
CS1744,3134,14,1066,150+,5+,501+
CS1745,3145,22,1615,150+,5+,501+
CS1746,3395,26,1878,150+,5+,501+
